day,hour,temperature,wind,sharedbikes
1,0,40,60,83
1,1,40,50,67
1,2,50,60,32
1,3,60,75,22
1,4,65,80,38
1,5,60,50,81
1,6,70,50,444
1,7,70,65,1597
1,8,80,50,3161
1,9,80,60,1342
1,10,90,65,568
1,11,90,100,584
1,12,100,110,762
1,13,100,100,873
1,14,100,90,672
1,15,100,100,807
1,16,100,130,1192
1,17,95,120,2761
1,18,95,140,2389
1,19,90,140,1274
1,20,90,140,696
1,21,90,110,411
1,22,90,100,324
1,23,85,80,192
2,0,80,80,91
2,1,80,80,73
2,2,80,110,33
2,3,80,140,19
2,4,85,110,40
2,5,80,140,74
2,6,80,150,530
2,7,90,130,1715
2,8,90,120,3534
2,9,90,160,1573
2,10,100,195,635
2,11,100,180,550
2,12,110,190,395
2,13,95,275,426
2,14,90,260,579
2,15,80,230,718
2,16,80,195,1184
2,17,75,220,2662
2,18,70,175,2610
2,19,60,150,1402
2,20,55,150,720
2,21,50,150,494
2,22,45,130,344
2,23,40,120,212
3,0,40,120,102
3,1,40,110,60
3,2,40,100,33
3,3,35,90,26
3,4,40,100,33
3,5,40,90,80
3,6,50,100,526
3,7,55,130,1757
3,8,65,150,3618
3,9,80,190,1714
3,10,80,195,763
3,11,90,210,690
3,12,90,270,913
3,13,95,280,982
3,14,100,285,783
3,15,90,250,794
3,16,90,250,1171
3,17,95,240,2647
3,18,100,300,2579
3,20,100,305,657
3,21,100,270,516
3,22,100,270,414
3,23,100,240,206
4,0,110,260,123
4,1,115,240,56
4,2,120,250,51
4,3,120,220,33
4,4,120,205,32
4,5,120,205,87
4,6,115,170,511
4,7,105,170,982
4,8,95,140,1228
4,9,90,130,573
4,10,90,140,185
4,11,90,205,193
4,12,90,170,522
4,13,90,270,672
4,14,100,220,761
4,15,90,220,781
4,16,90,195,1212
4,17,90,220,2351
4,18,85,225,2110
4,19,80,205,1239
4,20,80,170,752
4,21,80,205,457
4,22,85,210,423
4,23,90,270,267
5,0,100,280,147
5,1,100,300,60
5,2,100,295,65
5,3,110,290,42
5,4,110,330,47
5,5,115,330,85
5,6,120,325,441
5,7,120,315,1593
5,8,120,250,3505
5,9,120,300,1768
5,10,125,295,799
5,11,130,280,806
5,12,130,260,1052
5,13,130,300,1078
5,14,130,260,976
5,15,135,335,912
5,16,130,370,1229
5,17,135,350,2409
5,18,150,360,1983
5,19,155,410,1094
5,20,150,440,686
5,21,150,410,443
5,22,150,400,464
5,23,140,415,420
6,0,90,290,117
6,1,100,340,45
6,2,100,300,29
6,3,100,305,36
6,4,100,335,26
6,5,100,350,86
6,6,100,310,433
6,7,100,300,1541
6,8,100,310,3418
6,9,115,325,1832
6,10,120,330,723
6,11,120,390,654
6,12,120,295,700
6,13,120,295,631
6,14,125,330,520
6,15,120,250,374
6,16,120,225,669
6,17,115,220,1510
6,18,110,220,1186
6,19,115,220,1136
6,20,120,200,753
6,21,120,185,510
6,22,120,210,184
6,23,120,230,86
7,0,120,250,64
7,1,120,300,29
7,2,115,245,21
7,3,110,190,13
7,4,110,210,33
7,5,105,210,113
7,6,100,205,600
7,7,95,210,1584
7,8,90,160,3960
7,9,90,180,2090
7,10,90,175,960
7,11,90,180,866
7,12,95,205,1019
7,13,90,275,719
7,14,85,290,811
7,15,80,215,883
7,16,75,230,1391
7,17,70,220,2886
7,18,70,140,2659
7,19,60,195,1548
7,20,55,210,947
7,21,50,230,660
7,22,50,170,501
7,23,50,195,340
8,0,50,260,168
8,1,50,300,79
8,2,50,240,60
8,3,45,210,54
8,4,45,140,44
8,5,50,175,93
8,6,50,230,560
8,7,45,305,1820
8,8,40,260,3904
8,9,45,290,2064
8,10,50,305,841
8,11,55,270,732
8,12,65,270,1013
8,13,70,240,1066
8,14,70,220,913
8,15,70,180,969
8,16,70,160,1365
8,17,75,160,2638
8,18,80,215,1974
8,19,90,270,1254
8,20,100,310,885
8,21,100,380,537
8,22,95,390,344
8,23,100,400,188
9,0,100,400,91
9,1,110,400,66
9,2,110,445,25
9,3,115,450,23
9,4,110,370,23
9,5,100,315,62
9,6,95,295,481
9,7,90,230,1692
9,8,90,210,3673
9,9,90,195,1941
9,10,90,210,844
9,11,90,260,729
9,12,85,250,835
9,13,90,325,1005
9,14,90,305,828
9,15,90,360,912
9,16,80,290,1249
9,17,75,295,2524
9,18,70,295,2480
9,19,80,295,1353
9,20,70,340,810
9,21,65,320,591
9,22,65,330,430
9,23,70,295,301
10,0,70,310,208
10,1,70,275,117
10,2,65,220,71
10,3,65,250,59
10,4,65,205,46
10,5,65,205,88
10,6,70,185,471
10,7,70,150,1648
10,8,70,150,3546
10,9,60,130,1980
10,10,65,170,878
10,11,60,195,795
10,12,60,170,994
10,13,70,150,1122
10,14,70,150,941
10,15,70,150,1104
10,16,60,235,1149
10,17,55,140,2348
10,18,50,160,2002
10,19,40,120,1183
10,20,40,90,693
10,21,30,110,473
10,22,25,150,386
10,23,25,120,361
11,0,0,80,128
11,1,5,80,57
11,2,10,55,30
11,3,5,35,32
11,4,5,45,36
11,5,10,65,88
11,6,10,70,472
11,7,10,65,1695
11,8,20,75,3554
11,9,20,80,1828
11,10,30,75,794
11,11,35,30,688
11,12,40,90,923
11,13,40,80,913
11,14,50,75,815
11,15,50,60,908
11,16,40,65,1257
11,17,35,60,2774
11,18,35,60,2543
11,19,35,70,1442
11,20,30,65,893
11,21,25,55,561
11,22,20,30,356
11,23,20,20,247
12,0,10,30,85
12,1,5,65,49
12,2,0,30,40
12,3,-5,40,18
12,4,-10,30,32
12,5,-5,40,80
12,6,-10,50,520
12,7,-10,65,1791
12,8,-5,70,3700
12,9,0,90,1818
12,10,10,50,806
12,11,25,60,636
12,12,35,90,894
12,13,45,90,966
12,14,50,110,806
12,15,40,130,897
12,16,40,130,1287
12,17,40,120,2683
12,18,40,120,2624
12,19,40,130,1448
12,20,40,140,758
12,21,40,160,603
12,22,40,175,447
12,23,40,185,259
13,0,35,180,151
13,1,30,185,70
13,2,30,190,56
13,3,30,170,24
13,4,30,160,41
13,5,30,140,81
13,6,30,180,522
13,7,30,180,1656
13,8,30,180,3655
13,9,30,180,1976
13,10,30,170,821
13,11,30,160,666
13,12,30,170,805
13,13,35,160,821
13,14,30,170,701
13,15,30,180,759
13,16,30,160,1217
13,17,30,140,2503
13,18,30,110,2511
13,19,30,130,1359
13,20,30,90,890
13,21,30,60,666
13,22,30,60,480
13,23,30,30,351
14,0,25,20,138
14,1,20,20,81
14,2,20,20,54
14,3,20,55,37
14,4,20,50,39
14,5,20,50,89
14,6,20,20,512
14,7,20,20,1677
14,8,20,50,3828
14,9,25,20,1911
14,10,40,90,789
14,11,40,100,713
14,12,50,130,914
14,13,50,130,935
14,14,45,140,867
14,15,40,130,885
14,16,40,120,1328
14,17,35,120,2457
14,18,30,90,2422
14,19,20,65,1350
14,20,20,65,850
14,21,0,60,640
14,22,0,20,438
14,23,0,30,324
15,0,-5,55,171
15,1,-10,60,96
15,2,-10,60,58
15,3,-5,50,41
15,4,-10,50,31
15,5,-10,60,80
15,6,-15,50,426
15,7,-10,65,1494
15,8,-5,70,3328
15,9,5,65,1839
15,10,20,75,894
15,11,35,120,794
15,12,45,165,1084
15,13,50,175,1053
15,14,50,195,1005
15,15,50,170,1002
15,16,40,120,1421
15,17,40,140,2388
15,18,45,140,1946
15,19,60,185,1126
15,20,65,240,687
15,21,70,200,421
15,22,75,230,208
15,23,80,240,299
16,0,80,190,115
16,1,85,180,74
16,2,90,215,34
16,3,90,195,33
16,4,90,160,47
16,5,95,170,88
16,6,100,185,472
